municipio,uf,regiao,ano,meta,target
Augusto Pestana,RS,Sul,2024,80.0,0
Buerarema,BA,Nordeste,2024,31.49,0
Pau Brasil,BA,Nordeste,2024,50.35,0
Chapada de Areia,TO,Norte,2024,54.93,0
Nova Castilho,SP,Sudeste,2024,46.27,0
Riachuelo,RN,Nordeste,2024,47.19,0
Glória,BA,Nordeste,2024,42.59,0
Barra do Ribeiro,RS,Sul,2024,70.43,0
Banzaê,BA,Nordeste,2024,46.98,0
Itaguatins,TO,Norte,2024,39.48,0
Mateiros,TO,Norte,2024,34.77,0
Japi,RN,Nordeste,2024,21.97,0
São Jorge,RS,Sul,2024,77.17,0
Florânia,RN,Nordeste,2024,42.91,0
Santa Clara do Sul,RS,Sul,2024,80.0,0
Porto da Folha,SE,Nordeste,2024,30.74,0
Euclides da Cunha,BA,Nordeste,2024,39.98,0
Arataca,BA,Nordeste,2024,23.69,0
Tartarugalzinho,AP,Norte,2024,39.04,0
Três Arroios,RS,Sul,2024,80.0,0
Rio Tinto,PB,Nordeste,2024,78.16,0
São Nicolau,RS,Sul,2024,61.56,0
Pureza,RN,Nordeste,2024,42.59,0
Filadélfia,TO,Norte,2024,18.04,0
Macururé,BA,Nordeste,2024,8.39,1
Carmópolis,SE,Nordeste,2024,32.07,0
Divina Pastora,SE,Nordeste,2024,45.68,0
Senador Georgino Avelino,RN,Nordeste,2024,31.11,0
Estância Velha,RS,Sul,2024,69.31,0
Abaré,BA,Nordeste,2024,35.44,0
Imigrante,RS,Sul,2024,78.5,0
Itati,RS,Sul,2024,52.69,1
Mariano Moro,RS,Sul,2024,80.0,0
Miravânia,MG,Sudeste,2024,46.9,0
Gracho Cardoso,SE,Nordeste,2024,27.09,0
Vale Real,RS,Sul,2024,76.86,0
Campo do Brito,SE,Nordeste,2024,45.54,0
Campos Borges,RS,Sul,2024,33.67,0
Uarini,AM,Norte,2024,19.75,0
Itaju do Colônia,BA,Nordeste,2024,27.27,0
Rio da Conceição,TO,Norte,2024,24.46,0
Santana da Boa Vista,RS,Sul,2024,53.93,0
Pedro Avelino,RN,Nordeste,2024,26.54,0
Jacinto Machado,SC,Sul,2024,57.49,0
Mato Grosso,PB,Nordeste,2024,46.27,0
Bonito de Minas,MG,Sudeste,2024,66.87,0
Fortaleza dos Valos,RS,Sul,2024,80.0,0
Babaçulândia,TO,Norte,2024,27.6,0
Marcação,PB,Nordeste,2024,70.7,0
Glória,BA,Nordeste,2024,42.59,0
Curralinhos,PI,Nordeste,2024,39.57,0
Morro Cabeça no Tempo,PI,Nordeste,2024,30.91,0
Jardim de Piranhas,RN,Nordeste,2024,37.47,0
Lajes,RN,Nordeste,2024,36.25,0
Braga,RS,Sul,2024,46.27,0
Muçum,RS,Sul,2024,55.68,0
Sentinela do Sul,RS,Sul,2024,74.77,0
Cajari,MA,Nordeste,2024,57.7,0
Ilha das Flores,SE,Nordeste,2024,34.17,0
Várzea Nova,BA,Nordeste,2024,39.73,0
Luiz Alves,SC,Sul,2024,80.0,0
Bom Jesus,PB,Nordeste,2024,32.78,1
Pedro Alexandre,BA,Nordeste,2024,36.27,0
Pedro Régis,PB,Nordeste,2024,52.73,0
Jericó,PB,Nordeste,2024,57.85,0
Umburanas,BA,Nordeste,2024,28.46,0
Almadina,BA,Nordeste,2024,38.22,0
Amapá,AP,Norte,2024,38.23,0
Vila Maria,RS,Sul,2024,80.0,0
Sério,RS,Sul,2024,80.0,0
São Martinho da Serra,RS,Sul,2024,77.0,0
Borba,AM,Norte,2024,35.51,0
Lagoa do Tocantins,TO,Norte,2024,27.88,0
São José do Jacuípe,BA,Nordeste,2024,30.39,0
Espumoso,RS,Sul,2024,80.0,0
Manaquiri,AM,Norte,2024,52.37,0
