id_municipio,serie,rede,taxa_alfabetizacao,media_portugues,proporcao_aluno_nivel_0,proporcao_aluno_nivel_1,proporcao_aluno_nivel_2,proporcao_aluno_nivel_3,proporcao_aluno_nivel_4,proporcao_aluno_nivel_5,proporcao_aluno_nivel_6,proporcao_aluno_nivel_7,proporcao_aluno_nivel_8,_ingested_at,ano,meta_alfabetizacao,ano_meta,diferenca,target,num_escolas,total_matriculas_anos_iniciais,total_matriculas_2_ano,total_docentes_anos_iniciais,pct_agua_potavel,pct_energia_rede_publica,pct_esgoto_rede_publica,pct_internet,pct_biblioteca,pct_laboratorio_informatica,pct_quadra_esportes,populacao,pib_ultimo_disponivel,va_agropecuaria_ultimo_disponivel,va_industria_ultimo_disponivel,va_servicos_ultimo_disponivel
3532868,2,3,25.0,730.3803,8.33,8.33,8.33,16.67,33.33,0.0,8.33,0.0,16.67,2026-07-12T12:12:33.670967+00:00,2024,46.27,2024,-21.270000000000003,0,2,76,14,11,1.0,1.0,1.0,1.0,0.5,0.5,0.0,1074,91228000,,,
1704600,2,3,6.25,709.61,0.0,12.5,12.5,43.75,31.25,0.0,0.0,0.0,0.0,2026-07-12T12:12:33.670967+00:00,2024,54.93,2024,-48.68,0,2,94,20,7,1.0,1.0,0.0,1.0,0.0,0.5,0.5,1563,51576000,,,
1710706,2,3,18.09,704.57,6.9,11.83,35.42,14.14,21.94,3.53,6.24,0.0,0.0,2026-07-12T12:12:33.670967+00:00,2024,39.48,2024,-21.389999999999997,0,24,358,71,22,1.0,1.0,0.3,0.8,0.19999999999999998,0.0,0.1,5206,100220000,,,
1712702,2,3,9.09,685.03,27.27,22.73,9.09,22.73,13.64,4.55,0.0,0.0,0.0,2026-07-12T12:12:33.670967+00:00,2024,34.77,2024,-25.680000000000003,0,10,160,26,6,1.0,1.0,0.0,0.8333333333333334,0.0,0.16666666666666669,0.16666666666666666,2888,467179000,,,
4318440,2,3,66.7,760.0827,0.0,0.0,11.11,11.11,22.22,5.56,38.89,0.0,11.11,2026-07-12T12:12:33.670967+00:00,2024,77.17,2024,-10.469999999999999,0,5,140,20,10,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2976,113154000,,,
2902252,2,3,13.11,707.48,3.28,11.48,21.31,34.43,21.31,6.56,1.64,0.0,0.0,2026-07-12T12:12:33.670967+00:00,2024,23.69,2024,-10.580000000000002,0,36,612,94,45,1.0,1.0,0.26666666666666666,0.7999999999999999,0.13333333333333336,0.06666666666666667,0.0,10463,135073000,,,
4321634,2,3,40.0,735.3879,6.67,0.0,6.67,20.0,40.0,6.67,20.0,0.0,0.0,2026-07-12T12:12:33.670967+00:00,2024,80.0,2024,-40.0,0,2,79,15,8,1.0,1.0,0.0,1.0,0.0,0.5,0.0,2638,134291000,,,
4319208,2,3,7.1,704.4793,14.29,0.0,28.57,21.43,28.57,7.14,0.0,0.0,0.0,2026-07-12T12:12:33.670967+00:00,2024,61.56,2024,-54.46,0,4,128,27,14,1.0,1.0,0.0,1.0,0.75,0.25,0.75,5248,178749000,,,
1707702,2,3,12.63,689.5,18.86,18.12,24.91,17.88,11.28,7.2,1.74,0.0,0.0,2026-07-12T12:12:33.670967+00:00,2024,18.04,2024,-5.409999999999998,0,12,501,77,27,0.8888888888888888,1.0,0.0,0.7777777777777778,0.0,0.2222222222222222,0.0,7823,161707000,,,
2919900,2,3,12.5,695.94,10.0,20.0,25.0,30.0,2.5,7.5,5.0,0.0,0.0,2026-07-12T12:12:33.670967+00:00,2024,8.39,2024,4.109999999999999,1,18,560,101,33,0.5,1.0,0.14285714285714285,0.857142857142857,0.21428571428571427,0.0,0.42857142857142855,7455,80972000,,,
2801504,2,3,16.16,702.2,8.71,24.11,18.03,15.04,22.56,7.64,3.91,0.0,0.0,2026-07-12T12:12:33.670967+00:00,2024,32.07,2024,-15.91,0,12,930,168,67,1.0,1.0,0.20000000000000004,1.0,0.0,0.19999999999999998,0.3,14179,464417000,,,
2802007,2,3,19.53,713.61,7.74,7.74,21.62,19.86,27.37,7.91,7.77,0.0,0.0,2026-07-12T12:12:33.670967+00:00,2024,45.68,2024,-26.15,0,7,357,55,22,1.0,1.0,0.14285714285714288,1.0,0.14285714285714285,0.0,0.0,4433,240797000,,,
2413201,2,3,27.46,716.93,7.66,17.49,9.76,25.71,15.79,7.93,13.64,0.0,2.02,2026-07-12T12:12:33.670967+00:00,2024,31.11,2024,-3.6499999999999986,0,5,337,60,16,1.0,1.0,0.0,1.0,0.5,0.5,0.25,4193,114536000,,,
2900207,2,3,18.24,709.61,4.4,18.87,16.98,23.9,22.64,8.18,5.03,0.0,0.0,2026-07-12T12:12:33.670967+00:00,2024,35.44,2024,-17.2,0,42,1470,287,67,1.0,1.0,0.45833333333333337,0.8749999999999999,0.08333333333333333,0.08333333333333333,0.16666666666666666,18240,224239000,,,
4310363,2,3,50.0,756.4265,0.0,0.0,8.33,16.67,25.0,8.33,33.33,0.0,8.33,2026-07-12T12:12:33.670967+00:00,2024,78.5,2024,-28.5,0,5,143,20,26,1.0,1.0,0.5,1.0,0.75,0.5,0.5,3148,590476000,,,
4312005,2,3,58.3,753.9548,0.0,0.0,0.0,16.67,41.67,8.33,33.33,0.0,0.0,2026-07-12T12:12:33.670967+00:00,2024,80.0,2024,-21.700000000000003,0,1,84,16,6,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1888,71583000,,,
3142254,2,3,41.67,729.92,0.0,0.0,33.33,8.33,33.33,8.33,16.67,0.0,0.0,2026-07-12T12:12:33.670967+00:00,2024,46.9,2024,-5.229999999999997,0,18,117,25,21,1.0,1.0,0.0,1.0,0.3333333333333333,0.2222222222222222,0.2222222222222222,4011,57919000,,,
2802601,2,3,16.67,726.83,8.33,0.0,0.0,25.0,58.33,8.33,0.0,0.0,0.0,2026-07-12T12:12:33.670967+00:00,2024,27.09,2024,-10.419999999999998,0,13,386,48,18,1.0,1.0,0.2,1.0,0.09999999999999999,0.0,0.10000000000000002,5979,139799000,,,
1304260,2,3,11.25,702.59,7.82,15.59,29.63,12.18,25.68,8.42,0.68,0.0,0.0,2026-07-12T12:12:33.670967+00:00,2024,19.75,2024,-8.5,0,45,1297,254,76,0.4047619047619048,0.6190476190476191,0.0,0.35714285714285715,0.11904761904761907,0.0,0.02380952380952381,15278,265246000,,,
2915403,2,3,15.25,710.34,0.0,16.95,25.42,23.73,22.03,8.47,3.39,0.0,0.0,2026-07-12T12:12:33.670967+00:00,2024,27.27,2024,-12.02,0,16,542,88,39,1.0,1.0,0.7,1.0,0.0,0.1,0.09999999999999999,6157,110197000,,,
1718659,2,3,19.61,714.13,0.0,17.32,20.1,25.98,22.55,8.5,5.56,0.0,0.0,2026-07-12T12:12:33.670967+00:00,2024,24.46,2024,-4.850000000000001,0,3,184,34,12,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1822,45739000,,,
4317004,2,3,13.1,715.38,4.38,4.38,21.25,36.88,20.0,8.75,4.38,0.0,0.0,2026-07-12T12:12:33.670967+00:00,2024,53.93,2024,-40.83,0,23,266,55,26,1.0,1.0,0.4285714285714286,0.5714285714285714,0.5714285714285714,0.0,0.4285714285714286,7140,237629000,,,
2409704,2,3,21.89,700.18,12.46,22.22,22.9,12.46,16.84,8.75,4.38,0.0,0.0,2026-07-12T12:12:33.670967+00:00,2024,26.54,2024,-4.649999999999999,0,20,387,52,26,1.0,1.0,0.2727272727272727,1.0,0.0,0.18181818181818182,0.09090909090909091,6345,282103000,,,
2509370,2,3,18.18,728.23,0.0,0.0,18.18,27.27,36.36,9.09,9.09,0.0,0.0,2026-07-12T12:12:33.670967+00:00,2024,46.27,2024,-28.090000000000003,0,9,147,26,10,1.0,1.0,0.25,1.0,0.0,0.125,0.125,2592,38900000,,,
1703008,2,3,19.17,704.15,11.47,16.33,25.93,14.23,17.04,9.31,2.84,0.0,2.84,2026-07-12T12:12:33.670967+00:00,2024,27.6,2024,-8.43,0,7,516,95,32,1.0,1.0,0.0,1.0,0.14285714285714285,0.0,0.14285714285714288,7779,169441000,,,
2203255,2,3,27.56,726.83,2.22,7.46,21.58,16.62,30.02,9.54,10.19,0.0,2.36,2026-07-12T12:12:33.670967+00:00,2024,39.57,2024,-12.010000000000002,0,16,374,47,29,1.0,1.0,0.0,1.0,0.25,0.0,0.0,4527,53723000,,,
2206654,2,3,19.39,710.33,7.14,17.69,15.26,24.13,17.68,9.78,8.32,0.0,0.0,2026-07-12T12:12:33.670967+00:00,2024,30.91,2024,-11.52,0,8,370,84,13,0.875,1.0,0.0,0.875,0.0,0.0,0.12500000000000003,4458,53314000,,,
4302600,2,3,20.0,703.4617,0.0,20.0,40.0,0.0,30.0,10.0,0.0,0.0,0.0,2026-07-12T12:12:33.670967+00:00,2024,46.27,2024,-26.270000000000003,0,4,75,17,6,1.0,1.0,0.0,1.0,0.5,0.0,0.5,3326,109439000,,,
4320354,2,3,23.5,709.4142,10.05,13.32,16.84,23.24,19.72,10.18,6.66,0.0,0.0,2026-07-12T12:12:33.670967+00:00,2024,74.77,2024,-51.269999999999996,0,7,290,46,27,1.0,1.0,0.5,1.0,0.5,0.0,0.75,5422,179897000,,,
2102507,2,3,34.1,716.13,6.73,10.53,22.81,17.23,19.72,10.2,12.78,0.0,0.0,2026-07-12T12:12:33.670967+00:00,2024,57.7,2024,-23.6,0,57,1630,235,78,0.9642857142857141,0.982142857142857,0.0,0.5357142857142857,0.01785714285714286,0.01785714285714286,0.017857142857142856,16711,155103000,,,
2802700,2,3,16.26,699.8,16.25,13.04,18.36,16.3,25.02,10.25,0.78,0.0,0.0,2026-07-12T12:12:33.670967+00:00,2024,34.17,2024,-17.91,0,7,656,149,35,1.0,1.0,0.0,1.0,0.0,0.0,0.14285714285714285,8495,118392000,,,
2933158,2,3,17.95,704.38,5.77,19.23,26.92,13.46,19.87,10.26,4.49,0.0,0.0,2026-07-12T12:12:33.670967+00:00,2024,39.73,2024,-21.779999999999998,0,10,961,181,45,1.0,1.0,0.7,1.0,0.8999999999999999,0.19999999999999998,0.19999999999999998,13847,573060000,,,
2502201,2,3,68.42,758.75,0.0,0.0,5.26,10.53,31.58,10.53,36.84,0.0,5.26,2026-07-12T12:12:33.670967+00:00,2024,32.78,2024,35.64,1,7,182,29,11,1.0,1.0,0.14285714285714285,1.0,0.0,0.14285714285714285,0.14285714285714285,2333,40310000,,,
2924207,2,3,20.45,706.72,4.55,14.39,24.24,25.0,18.94,10.61,2.27,0.0,0.0,2026-07-12T12:12:33.670967+00:00,2024,36.27,2024,-15.820000000000004,0,69,1114,228,71,0.6666666666666664,1.0,0.02564102564102564,0.923076923076923,0.02564102564102564,0.0,0.15384615384615383,14288,178830000,,,
2512721,2,3,23.99,714.41,12.71,9.98,15.18,22.96,15.18,10.64,10.63,0.0,2.71,2026-07-12T12:12:33.670967+00:00,2024,52.73,2024,-28.74,0,9,386,66,15,1.0,1.0,0.0,1.0,0.2222222222222222,0.11111111111111113,0.22222222222222227,5925,70516000,,,
2507408,2,3,23.83,713.51,8.99,9.82,16.45,29.61,12.97,10.66,9.63,0.0,1.86,2026-07-12T12:12:33.670967+00:00,2024,57.85,2024,-34.02,0,15,386,80,22,1.0,1.0,0.2857142857142857,1.0,0.0,0.14285714285714285,0.14285714285714288,7721,95979000,,,
2932457,2,3,22.95,711.13,7.38,13.93,15.57,24.59,22.95,10.66,4.1,0.0,0.82,2026-07-12T12:12:33.670967+00:00,2024,28.46,2024,-5.510000000000002,0,10,1072,215,56,1.0,1.0,0.0,0.8,0.6,0.3,0.19999999999999998,13888,238955000,,,
2900900,2,3,23.91,720.41,0.0,10.87,13.04,30.43,30.43,10.87,4.35,0.0,0.0,2026-07-12T12:12:33.670967+00:00,2024,38.22,2024,-14.309999999999999,0,22,368,56,36,0.5555555555555556,1.0,0.5555555555555556,0.8888888888888888,0.0,0.0,0.0,5327,79711000,,,
4320453,2,3,11.1,712.1694,5.56,0.0,27.78,33.33,22.22,11.11,0.0,0.0,0.0,2026-07-12T12:12:33.670967+00:00,2024,80.0,2024,-68.9,0,2,99,18,12,1.0,1.0,0.0,1.0,1.0,1.0,0.5,2093,70329000,,,
1300805,2,3,22.82,713.83,5.53,4.95,27.27,18.5,31.62,11.21,0.92,0.0,0.0,2026-07-12T12:12:33.670967+00:00,2024,35.51,2024,-12.689999999999998,0,160,2462,453,223,0.9927007299270073,0.7226277372262774,0.043795620437956186,0.1678832116788321,0.05109489051094892,0.014598540145985401,0.029197080291970805,34879,435684000,,,
1711951,2,3,15.09,694.44,15.09,19.55,29.33,11.49,9.43,11.32,1.89,0.0,1.89,2026-07-12T12:12:33.670967+00:00,2024,27.88,2024,-12.79,0,4,340,51,31,1.0,1.0,0.0,1.0,0.5,0.0,0.5,3610,85970000,,,
2929370,2,3,28.41,720.87,1.14,7.95,22.73,23.86,25.0,11.36,7.95,0.0,0.0,2026-07-12T12:12:33.670967+00:00,2024,30.39,2024,-1.9800000000000004,0,16,642,123,37,1.0,1.0,0.3125,1.0,0.25,0.0625,0.25,10556,154211000,,,
4307500,2,3,39.1,733.4719,0.0,0.0,15.63,34.38,26.88,11.56,11.56,0.0,0.0,2026-07-12T12:12:33.670967+00:00,2024,80.0,2024,-40.9,0,11,270,44,56,1.0,1.0,0.4,1.0,0.6,0.5,0.5,15478,861538000,,,
1302553,2,3,20.56,712.18,4.96,7.86,32.3,13.09,26.6,11.73,3.46,0.0,0.0,2026-07-12T12:12:33.670967+00:00,2024,52.37,2024,-31.81,0,45,1721,385,105,0.9749999999999999,0.8250000000000001,0.024999999999999998,0.5499999999999999,0.42499999999999993,0.025000000000000005,0.15,17009,303947000,,,
