municipio,uf,meta,resultado,diferenca,ano
Augusto Pestana,RS,80.0,10.0,-70.0,2024
Buerarema,BA,31.49,21.43,-10.059999999999999,2024
Pau Brasil,BA,50.35,10.0,-40.35,2024
Chapada de Areia,TO,54.93,6.25,-48.68,2024
Nova Castilho,SP,46.27,25.0,-21.270000000000003,2024
Riachuelo,RN,47.19,15.38,-31.809999999999995,2024
Glória,BA,42.59,4.76,-37.830000000000005,2024
Barra do Ribeiro,RS,70.43,8.8,-61.63000000000001,2024
Banzaê,BA,46.98,7.69,-39.29,2024
Itaguatins,TO,39.48,18.09,-21.389999999999997,2024
Mateiros,TO,34.77,9.09,-25.680000000000003,2024
Japi,RN,21.97,18.18,-3.789999999999999,2024
São Jorge,RS,77.17,66.7,-10.469999999999999,2024
Florânia,RN,42.91,33.33,-9.579999999999998,2024
Santa Clara do Sul,RS,80.0,22.2,-57.8,2024
Porto da Folha,SE,30.74,16.67,-14.069999999999997,2024
Euclides da Cunha,BA,39.98,5.88,-34.099999999999994,2024
Arataca,BA,23.69,13.11,-10.580000000000002,2024
Tartarugalzinho,AP,39.04,26.67,-12.369999999999997,2024
Três Arroios,RS,80.0,40.0,-40.0,2024
Rio Tinto,PB,78.16,16.68,-61.48,2024
São Nicolau,RS,61.56,7.1,-54.46,2024
Pureza,RN,42.59,21.43,-21.160000000000004,2024
Filadélfia,TO,18.04,12.63,-5.409999999999998,2024
Macururé,BA,8.39,12.5,4.109999999999999,2024
Carmópolis,SE,32.07,16.16,-15.91,2024
Divina Pastora,SE,45.68,19.53,-26.15,2024
Senador Georgino Avelino,RN,31.11,27.46,-3.6499999999999986,2024
Estância Velha,RS,69.31,24.3,-45.010000000000005,2024
Abaré,BA,35.44,18.24,-17.2,2024
Imigrante,RS,78.5,50.0,-28.5,2024
Itati,RS,52.69,58.3,5.609999999999999,2024
Mariano Moro,RS,80.0,58.3,-21.700000000000003,2024
Miravânia,MG,46.9,41.67,-5.229999999999997,2024
Gracho Cardoso,SE,27.09,16.67,-10.419999999999998,2024
Vale Real,RS,76.86,50.0,-26.86,2024
Campo do Brito,SE,45.54,8.33,-37.21,2024
Campos Borges,RS,33.67,25.0,-8.670000000000002,2024
Uarini,AM,19.75,11.25,-8.5,2024
Itaju do Colônia,BA,27.27,15.25,-12.02,2024
Rio da Conceição,TO,24.46,19.61,-4.850000000000001,2024
Santana da Boa Vista,RS,53.93,13.1,-40.83,2024
Pedro Avelino,RN,26.54,21.89,-4.649999999999999,2024
Jacinto Machado,SC,57.49,36.36,-21.130000000000003,2024
Mato Grosso,PB,46.27,18.18,-28.090000000000003,2024
Bonito de Minas,MG,66.87,27.27,-39.60000000000001,2024
Fortaleza dos Valos,RS,80.0,63.6,-16.4,2024
Babaçulândia,TO,27.6,19.17,-8.43,2024
Marcação,PB,70.7,15.43,-55.27,2024
